word,length,frequency
യുഎഇക്കെതിരായ,13,1
മത്സരത്തിൽ,10,8
വൈഭവ്,5,39
സൂര്യവംശി,9,5
ഐപിഎല്ലില്,10,6
ലോകോത്തര,8,1
ബൗളര്മാരെ,9,1
വിറപ്പിച്ച,10,1
പതിന്നാലുകാരനു,14,1
മുന്നില്,8,15
ഇംഗ്ലീഷ്,8,10
പടയുടെ,6,1
കൗമാരതാരങ്ങള്ക്ക്,17,1
എന്തുചെയ്യാനാകും,16,1
ഉയര്ന്നുവരുന്ന,14,1
പന്തുകളെ,8,1
തലങ്ങും,7,1
വിലങ്ങും,8,1
പ്രഹരിച്ച്,10,1
അണ്ടര്,6,7
ഏകദിനത്തിലും,12,1
താണ്ഡവമാടുന്ന,13,1
കാഴ്ച,5,3
ഇംഗ്ലണ്ട്,9,32
ടീമിനെതിരേ,10,1
സമാനതകളില്ലാത്ത,15,3
പ്രകടനമായിരുന്നു,16,1
വൈഭവിന്റേത്,11,2
ഫോറുകളും,8,4
സിക്സറുകളുമടക്കം,16,2
പന്തില്,7,22
നിന്ന്,6,73
റണ്സെടുത്ത്,11,3
മടങ്ങുമ്പോൾ,11,1
യൂത്ത്,6,7
ഏകദിന,5,2
ചരിത്രത്തിലെ,12,6
തന്നെ,5,89
ഏറ്റവും,7,79
വേഗമേറിയ,8,8
സെഞ്ചുറി,8,25
ഈ,1,192
ലിറ്റിൽ,7,1
സൂപ്പർസ്റ്റാർ,13,1
കരസ്ഥമാക്കിയിരുന്നു,19,1
പ്രകടനത്തിന്,12,6
പിന്നാലെ,8,40
പതിന്നാലുകാരന്,14,3
പുതുചരിത്രമെഴുതുകയായിരുന്നു,27,1
ചരിത്രത്തില്,12,7
വേഗത്തില്,9,7
നേടുന്ന,7,14
താരമെന്ന,8,9
ചരിത്രനേട്ടവും,14,1
സ്വന്തമാക്കി,12,7
മൂന്നക്കം,9,1
തൊട്ട,5,1
താരം,4,52
പാക്,4,5
താരമായ,6,5
കമ്രാന്,7,1
ഖുലാമിന്റെ,10,1
റെക്കോഡാണ്,10,4
മറികടന്നത്,10,2
ല്,2,51
ഖുലാം,5,1
പന്തിലാണ്,9,3
തികച്ചത്,8,2
ടീമിനെതിരേയാണ്,14,1
അന്ന്,5,15
കൗമാരതാരം,9,1
ഏകദിനത്തില്,11,6
പ്രായം,6,8
കുറഞ്ഞ,6,6
കളിക്കാരനായി,12,1
മാറി,4,21
ബംഗ്ലാദേശിന്റെ,14,1
നജ്മുള്,7,1
ഷാന്റോയുടെ,10,1
തകര്ത്തത്,9,2
നേടുമ്പോള്,10,2
വര്ഷവും,7,4
ദിവസവുമായിരുന്നു,16,1
താരത്തിന്റെ,11,13
ഇന്ത്യന്,8,56
നേട്ടവും,8,7
വൈഭവിന്,7,2
വന്നുചേര്ന്നു,13,1
ടീമിനെതിരായ,11,1
മൂന്നാം,7,26
വെടിക്കെട്ട്,12,2
നടത്തിയ,7,34
അതിവേഗ,6,6
അര്ധസെഞ്ചുറി,12,4
തികച്ചിരുന്നു,13,1
അര്ധസെഞ്ചുറിയും,15,1
നേടി,4,23
അതോടെ,5,6
ഇന്ത്യക്കായി,12,6
രണ്ടാമത്തെ,10,9
താരമായി,7,4
ഋഷഭ്,4,12
പന്താണ്,7,2
വേഗം,4,1
തികച്ച,6,3
നേപ്പാളിനെതിരേ,14,1
നേടിയിരുന്നു,12,6
പരമ്പരയിലെ,10,5
ആദ്യ,4,52
രണ്ട്,5,53
മത്സരങ്ങളിലും,13,4
മികച്ച,6,30
പ്രകടനം,7,8
കാഴ്ചവെച്ചിരുന്നു,17,1
മത്സരത്തില്,11,12
റണ്സാണ്,7,5
അടിച്ചെടുത്തത്,14,3
രണ്ടാം,6,55
റണ്സുമെടുത്തു,13,1
ഐപിഎല്ലിലും,11,3
ടീമിലും,7,1
തുടര്ച്ചയായി,12,5
ഉജ്വലബാറ്റിങ്,13,1
കാഴ്ചവെക്കുന്ന,14,1
താരത്തെ,7,4
പ്രശംസ,6,2
കൊണ്ട്,6,10
മൂടുകയാണ്,9,1
ക്രിക്കറ്റ്,11,44
ലോകം,4,7
തന്റെ,5,25
ബാറ്റിങ്,8,8
വൈഭവം,5,1
ബിഹാറുകാരന്,11,1
ലോകത്തെയൊന്നാകെ,15,1
അമ്പരപ്പിക്കുകയാണ്,18,1
ഇനി,3,18
ഇന്ത്യയുടെ,10,35
സീനിയര്,7,1
ടീമില്,6,6
എന്നെത്തുമെന്ന്,15,1
മാത്രമാണ്,9,78
ആരാധകര്,7,5
ചോദിക്കുന്നത്,13,2
അത്,3,76
വിദൂരമല്ലെന്നുറപ്പ്,19,1
വൈറ്റ്ബോള്,10,1
ക്രിക്കറ്റില്,13,7
ഭാവിതാരമാകുമെന്ന്,17,1
ഉറപ്പിക്കുന്നുണ്ട്,18,1
നിരീക്ഷകരും,11,1
ഒരു,3,232
എങ്ങനെയാണ്,10,7
ഇത്രയും,7,5
ശക്തിയോടെ,9,1
സിക്സറുകള്,10,2
അടിക്കുന്നതെന്നാണ്,18,1
പലരും,5,12
അവിശ്വസനീയവും,13,1
അസാധാരണവുമാണ്,13,1
പ്രകടനമെന്നാണ്,14,1
നിരീക്ഷകര്,10,3
വിലയിരുത്തുന്നത്,16,3
എന്നാല്,7,58
വൈഭവിന്റെ,9,2
കഴിവിനെ,7,1
ചെറുപ്പത്തില്,13,1
കുട്ടിക്കാലത്തെ,15,1
പരിശീലകനായ,10,1
മനീഷ്,5,2
ഓജ,2,1
തിരിച്ചറിഞ്ഞിരുന്നു,19,1
പത്താം,6,3
വയസ്സില്,8,2
മീറ്റര്,7,1
അടിച്ചിട്ടുണ്ടെന്നാണ്,21,1
പറയുന്നത്,9,26
അതേസമയം,7,24
നേട്ടങ്ങള്ക്ക്,14,1
പിന്നില്,8,6
മാതാപിതാക്കളുടെ,15,1
കഠിനപരിശ്രമമുണ്ടെന്ന്,21,1
തുറന്നുപറഞ്ഞിട്ടുണ്ട്,21,1
തനിക്ക്,7,9
പരിശീലനത്തിന്,13,3
പോകേണ്ടതിനാൽ,12,2
അമ്മ,4,3
മൂന്ന്,6,26
മണിക്കൂർ,8,4
ഉറങ്ങിയിരുന്നതെന്നും,20,1
അച്ഛൻ,5,7
ജോലി,4,8
ഉപേക്ഷിച്ചെന്നുമാണ്,19,1
മുമ്പൊരിക്കൽ,12,1
പറഞ്ഞത്,7,16
ഞാൻ,3,12
ഇന്ന്,5,19
എന്താണോ,7,1
അതിന്,5,11
എന്റെ,5,12
മാതാപിതാക്കളോട്,15,1
കടപ്പെട്ടിരിക്കുന്നു,20,1
എനിക്ക്,7,14
നേരത്തെ,7,6
എഴുന്നേൽക്കുകയും,16,1
എനിക്കുവേണ്ടി,13,2
ഭക്ഷണം,6,3
തയ്യാറാക്കുകയും,15,1
ചെയ്യുമായിരുന്നു,16,1
രാത്രി,6,3
മണിക്ക്,7,5
ഉറങ്ങി,6,1
എഴുന്നേൽക്കും,13,2
അവർ,3,6
മാത്രമേ,7,19
ഉറങ്ങുമായിരുന്നുള്ളൂ,20,1
പറഞ്ഞു,6,73
അദ്ദേഹത്തിന്റെ,14,20
ഉപേക്ഷിച്ചു,11,1
ഇപ്പോൾ,6,12
ജ്യേഷ്ഠനാണ്,11,1
നോക്കുന്നത്,11,2
ഞങ്ങൾ,5,5
വളരെ,4,19
ബുദ്ധിമുട്ടിലായിരുന്നു,22,1
എന്നെ,5,5
പിന്തുണച്ചു,11,1
നേടാൻ,5,2
കഴിയുമെന്ന്,11,3
നേടിയ,5,37
വിജയത്തിന്,10,7
കാരണം,5,17
മാതാപിതാക്കളാണ്,15,1
കൂട്ടിച്ചേർത്തു,15,8
പ്ലേ,4,2
ഓഫ്,3,17
കാണാതെ,6,1
പുറത്തായെങ്കിലും,16,2
രാജസ്ഥാന്,9,4
റോയല്സ്,7,1
ലോകത്തെയൊന്നടങ്കം,17,1
കോരിത്തരിപ്പിച്ചാണ്,19,1
മടങ്ങിയത്,9,5
പതിന്നാലുവയസ്,13,1
മാത്രമുള്ള,10,2
തകര്പ്പന്,9,7
പ്രകടനമാണ്,10,2
കാഴ്ചവെച്ചത്,12,2
സെഞ്ചുറിയും,11,7
പ്രകടനങ്ങളും,12,1
വണ്ടര്കിഡ്,10,1
ഐപിഎല്,6,2
ചരിത്രം,7,12
തിരുത്തിയെഴുതി,14,1
ഗുജറാത്ത്,9,6
ടൈറ്റന്സിനെതിരായ,16,3
കുറിച്ച,7,4
സിക്സും,7,4
ഏഴു,3,11
ഫോറുമുള്പ്പെടെ,14,2
റണ്സടിച്ച,9,3
ശേഷമാണ്,7,6
പുറത്തായത്,10,9
ടി,2,23
ക്രിക്കറ്റിലും,14,2
പ്രായംകുറഞ്ഞ,12,5
റെക്കോഡും,9,4
വയസും,5,2
ദിവസും,6,2
മാത്രം,6,102
പ്രായമുള്ള,10,1
ലിറ്റില്,8,1
സൂപ്പര്,7,5
സ്റ്റാര്,8,2
സെഞ്ചുറിയെന്ന,13,2
വെറും,5,12
മൂന്നാമത്തെ,11,3
സ്വന്തം,7,21
പേരിലാക്കി,10,2
ഐപിഎല്ലിലെ,10,7
സെഞ്ചുറിയുമായിരുന്നു,20,1
ഇത്,3,35
ബിഹാറിലെ,8,3
സമസ്തിപൂർ,9,1
ജില്ലയിലാണ്,11,2
സൂര്യവംശിയുടെ,13,4
ജനനം,4,2
നാലാം,5,22
വയസ്സിൽ,7,5
കളിതുടങ്ങി,10,1
പിതാവ്,6,1
തന്നെയായിരുന്നു,15,6
പരിശീലകൻ,8,2
ഒമ്പതാം,7,2
നാട്ടിലെ,8,1
അക്കാദമിയിൽ,11,2
ചേർന്നു,7,1
പിന്നീടുള്ള,11,1
വളർച്ച,6,1
പ്രായത്തെ,9,1
കവച്ചുവെക്കുന്നതായിരുന്നു,25,1
ഐപിഎൽ,5,2
ടീമുമായി,8,2
കരാറിലെത്തുന്ന,14,1
സൂര്യവംശിയെ,11,2
കോടി,4,12
രൂപയ്ക്കാണ്,11,1
രാജസ്ഥാൻ,8,4
റോയൽസ്,6,2
ടീമിലെത്തിച്ചത്,15,2
കൂടുതല്,7,67
കായിക,5,38
വാര്ത്തകള്ക്കും,15,33
ഫീച്ചറുകള്ക്കുമായി,18,33
വാട്ട്സ്ആപ്പ്,13,33
ഗ്രൂപ്പില്,10,33
ജോയിന്,6,33
ചെയ്യൂ,6,33
വാര്ത്തകളോടു,12,49
പ്രതികരിക്കുന്നവര്,18,49
അശ്ലീലവും,9,49
അസഭ്യവും,8,49
നിയമവിരുദ്ധവും,14,49
അപകീര്ത്തികരവും,15,49
സ്പര്ധ,6,49
വളര്ത്തുന്നതുമായ,16,49
പരാമര്ശങ്ങള്,12,51
ഒഴിവാക്കുക,10,99
വ്യക്തിപരമായ,12,52
അധിക്ഷേപങ്ങള്,13,49
പാടില്ല,7,51
ഇത്തരം,6,59
അഭിപ്രായങ്ങള്,13,101
സൈബര്,5,51
നിയമപ്രകാരം,11,53
ശിക്ഷാര്ഹമാണ്,13,49
വായനക്കാരുടെ,12,50
വായനക്കാരുടേതു,14,49
മാതൃഭൂമിയുടേതല്ല,16,49
ദയവായി,6,50
മലയാളത്തിലോ,11,49
ഇംഗ്ലീഷിലോ,10,49
അഭിപ്രായം,9,55
എഴുതുക,6,49
മംഗ്ലീഷ്,8,49
മുഹമ്മദ്,8,18
സിറാജ്,6,10
ബർമിങാം,7,1
ഇതുവരെ,6,15
